"install date","address","area","district","beat","ward",
"1/5/2010","7801 S Vernon Ave",2,6,624,6,
"1/6/2009","7600 S Halsted St",2,6,621,17,
"1/6/2009","7100 S Normal Blvd",1,7,732,6,
"1/14/2010","3632 W Belmont",5,17,1732,35,
"1/15/2010","6944 N Greenview Ave",3,24,2431,49,
"1/21/2010","1 W 95th St",2,5,511,21,
"1/28/2010","2000 S Michigan Ave",,1,134,3,
"2/6/2009","8751 S Genoa Ave",2,22,2223,21,
"2/23/2009","4100 W Wabansia Ave",5,25,2534,30,
"3/9/2010","800 N Keystone Ave",4,11,1111,37,
"3/9/2010","857 N Karlov Ave",4,11,1111,37,
"3/11/2010","700 N Kilpatrick Ave",4,11,1111,28,
"3/11/2010","732 N Kilpatrick Ave",4,11,1111,28,
"3/12/2010","757 N Cicero Ave",4,11,1111,28,
"3/12/2010","929 N Keeler Ave",4,11,1111,37,
"3/15/2010","901 N Keeler Ave",4,11,1111,37,
"3/16/2010","1059 N Keeler Ave",4,11,1111,37,
"3/16/2010","4258 W Augusta Blvd",4,11,1111,37,
"3/17/2010","1158 N Karlov Ave",4,11,1111,37,
"3/17/2010","1159 N Kedvale Ave",4,11,1111,37,
"3/17/2010","1159 N Keystone Ave",4,11,1111,27,
"3/19/2010","1159 N Kildare Ave",4,11,1111,37,
"3/19/2010","4109 W Division St",4,11,1111,37,
"3/28/2009","9057 S Houston Ave",2,4,424,10,
"3/28/2009","2533 E 87th St",2,2,4,423,
"3/28/2009","8601 S Colfax Ave",2,4,423,7,
"3/28/2009","8801 S Muskegon Ave",2,4,423,10,
"3/28/2009","8501 S Muskegon Ave",2,4,423,10,
"3/30/2009","11531 S Church St",2,22,2212,34,
"3/30/2009","1253 W 109th St",2,22,2234,34,
"3/30/2009","11651 S Church St",2,22,2212,34,
"4/15/2010","7930 S Marshfield Ave",2,6,611,21,
"4/21/2009","3633 W Lawrence Ave",5,17,1723,33,
"4/21/2009","3763 W Lawrence Ave",5,17,1723,39,
"4/21/2009","2559 W Lawrence Ave",5,17,1723,33,
"4/22/2009","2800 W Rosemont Ave",3,24,2413,50,
"4/22/2009","2732 W Devon Ave",3,24,2412,50,
"5/6/2009","7800 S Dr Martin Luther King Jr Dr",2,6,623,6,
"5/6/2009","7900 S Vernon Ave",2,6,624,6,
"5/6/2009","401 E 79th St",2,6,624,6,
"5/6/2009","7801 S Eberhart Ave",2,6,624,6,
"5/6/2009","458 E 79th St",2,6,624,6,
"5/13/2009","11001 S Throop St",2,22,2234,34,
"5/19/2009","409 W Evergreen Ave",,18,1821,27,
"5/20/2009","5232 W Madison St",5,15,1522,28,
"5/20/2009","5359 W Washington Blvd",5,15,1522,28,
"5/27/2009","5259 W Washington Blvd",5,15,1522,28,
"5/27/2009","5331 W Madison St",5,15,1522,29,
"5/27/2009","5159 W Washington Blvd",5,15,1533,28,
"5/28/2009","5440 W Madison St",5,15,1522,28,
"5/28/2009","5200 W Madison St",5,15,1522,28,
"6/16/2008","3900 S Indiana Ave",1,2,214,3,
"6/16/2009","1459 N California Ave",5,14,1423,26,
"6/16/2009","1601 N California Ave",5,14,1421,1,
"6/17/2009","1301 N Luis Munoz Marin Dr East",5,14,1423,26,
"7/14/2008","7500 S Constance Ave",2,4,414,8,
"7/14/2008","7625 S Constance Ave",2,4,414,8,
"7/14/2008","6700 S Euclid Ave",2,4,414,8,
"7/14/2008","7601 S Constance Ave",2,4,414,8,
"7/14/2009","6901 S Ashland Ave",1,7,734,17,
"7/15/2008","7558 S Jeffery Blvd",2,4,414,8,
"7/15/2008","7500 S Jeffery Blvd",2,4,414,8,
"7/16/2008","1200 S Lawndale Ave",4,10,1011,24,
"7/16/2008","7900 S Ridgeland Ave",2,4,414,8,
"7/16/2009","2833 W Division St",4,13,1311,26,
"7/17/2008","700 N Lavergne Ave",5,15,1531,28,
"7/18/2008","5235 W North Ave",5,25,2532,37,
"7/18/2009","3900 S Lake Park Ave",1,21,2122,4,
"7/24/2009","8301 S Kerfoot Ave",2,6,622,21,
"7/24/2009","8302 S Birkhoff Ave",2,6,622,21,
"7/24/2009","8128 S Emerald Ave",2,6,622,21,
"7/25/2008","11100 S Wallace St",2,22,2233,34,
"7/25/2008","10300 S Cottage Grove Ave",2,5,512,9,
"7/25/2008","3800 W Armitage Ave",5,25,2525,26,
"7/27/2009","432 W 83rd St",2,6,622,21,
"7/28/2009","8300 S Halsted St",2,6,613,21,
"8/1/2008","5200 S Ellsworth Dr",1,2,234,4,
"8/3/2009","7860 S Halsted St",2,6,621,17,
"8/5/2009","10300 S Doty Ave East",2,4,434,10,
"8/6/2008","4659 S Dr Martin Luther King Jr Dr",1,2,222,3,
"8/16/2008","424 E Pershing Rd",1,2,212,4,
"8/16/2008","3800 S Prairie Ave",1,2,211,3,
"8/23/2008","3602 N Western Ave",3,19,1912,47,
"8/25/2008","5202 N Kimball Ave",5,17,1712,39,
"8/26/2008","1600 W Irving Park Rd",3,19,1923,47,
"9/3/2008","1158 N Leclaire Ave",5,15,1531,37,
"9/6/2008","4200 W Augusta Blvd",4,11,1111,37,
"9/6/2008","4880 W Wabansia Ave",5,25,2533,37,
"9/8/2009","4759 N Sheridan Rd",3,23,2312,46,
"9/8/2009","4902 W Deming Pl",5,25,2521,31,
"9/9/2008","600 E 67th St",2,3,321,20,
"9/15/2008","2200 S Kirkland Ave",4,10,1013,22,
"9/15/2009","1401 W 63rd St",1,7,725,16,
"9/16/2008","3000 W Walnut St",4,13,1331,27,
"9/16/2009","7610 N Bosworth Ave",3,24,2422,49,
"9/17/2008","5724 N Northwest Hwy",5,16,1622,45,
"9/18/2008","4001 S Artesian Ave",1,9,914,12,
"9/22/2008","50 E 95th St",2,6,634,6,
"9/22/2009","4952 W Deming Pl",5,25,2521,31,
"9/24/2008","6400 S Rockwell St",1,8,825,15,
"9/24/2008","6901 S Western Ave",1,8,832,17,
"9/26/2008","11900 S Perry Ave",2,5,522,9,
"9/27/2008","7858 S Drexel Ave",2,6,624,6,
"9/27/2008","11100 S Halsted St",2,22,2233,34,
"9/30/2008","2550 N Kostner Ave",5,25,2524,31,
"1/12/2008","758 N Parkside Ave",5,15,1511,29,
"1/15/2010","1431 S Laflin St",4,12,1231,2,
"1/15/2010","5100 S Racine Ave",1,9,933,16,
"1/17/2007","4401 W West End Ave",4,11,1113,28,
"1/18/2006","2710 S Dearborn St",1,21,2113,3,
"1/19/2007","1333 S Throop St",4,12,1231,2,
"1/20/2007","600 N Hamlin Ave",4,11,1132,28,
"1/20/2010","3071 E 79th St",2,4,422,7,
"1/22/2007","2656 W Potomac Ave",5,14,1423,26,
"1/26/2007","1100 W Winona St",3,20,2033,48,
"1/27/2007","2431 E 75th St",2,4,421,7,
"1/28/2005","800 N Homan Ave",4,11,1121,27,
"1/3/2007","7658 S Exchange Ave",2,4,421,7,
"1/3/2008","8801 S Princeton Ave",2,6,634,21,
"1/4/2008","12301 S Halsted St",2,5,523,34,
"10/1/2008","3400 N Laramie Ave",5,16,1634,38,
"10/1/2008","3602 N Kilbourn Ave",5,17,1731,38,
"10/8/2008","4658 N Central Park Ave",5,17,1723,33,
"10/9/2008","2532 W 51st St",1,9,911,14,
"10/9/2008","5700 S Peoria St",1,7,712,16,
"10/9/2008","5300 W Wabansia Ave",5,25,2532,37,
"10/11/2006","6100 S Cottage Grove Ave",2,3,313,20,
"10/11/2006","7100 S Paxton Ave",2,3,333,5,
"10/13/2006","101 W 115th St",2,5,522,34,
"10/17/2006","11958 S Michigan Ave",2,5,532,9,
"10/17/2008","11458 S Yale Ave",2,5,522,34,
"10/18/2005","400 W Evergreen ave",,18,1821,27,
"10/18/2005","4300 S Rockwell St",1,9,912,12,
"10/18/2006","1000 N Hamlin Ave",4,11,1113,27,
"10/20/2009","831 E 63rd St",2,3,312,20,
"10/23/2009","639 E 131st St",2,5,533,9,
"10/24/2008","2300 W Warren Blvd",4,13,1332,2,
"10/24/2008","700 N Christiana Ave",4,11,1121,27,
"10/25/2006","1825 W 51st St",1,9,932,16,
"10/26/2006","401 S Central Ave",5,15,1522,29,
"10/27/2009","6401 S Ingleside Ave",2,3,314,20,
"10/30/2007","35 W 23rd St",,1,134,2,
"10/31/2006","500 N Avers Ave",4,11,1122,27,
"10/5/2007","2159 W Maypole Ave",4,13,1332,2,
"10/8/2008","4400 S Lamon Ave",1,8,814,23,
"11/1/2008","201 E Garfield Blvd",1,2,233,3,
"11/2/2009","8109 S Green St",2,6,613,21,
"11/4/2008","2758 N Hoyne Ave",3,19,1913,1,
"11/4/2008","1024 W 18th Pl",4,12,1233,25,
"11/5/2008","9300 S Marquette Ave",2,4,423,7,
"11/5/2008","10400 S State St",2,5,512,34,
"11/6/2008","364 W Oak St",,18,1823,27,
"11/6/2009","2127 S Marshall Blvd",4,10,1023,12,
"11/6/2009","843 W 27th St",1,9,923,11,
"11/8/2008","4700 S Western Ave",1,9,911,12,
"11/8/2008","2143 S Homan Ave",4,10,1024,24,
"11/9/2008","4041 E 112th St",2,4,433,10,
"11/1/2008","4000 S Prairie Ave",1,2,214,3,
"11/10/2006","3731 W Roosevelt Rd",4,10,1011,24,
"11/12/2007","11700 S La Salle St",2,5,522,34,
"11/12/2007","11900 S State St",2,5,522,9,
"11/13/2009","10302 S Doty Ave East",2,4,434,10,
"11/13/2009","10301 S Doty Ave East",2,4,434,10,
"11/14/2006","1600 W Howard St",3,24,2422,49,
"11/14/2006","958 W 59th St",1,7,712,16,
"11/14/2006","6100 S Martin Luther King Jr Dr",2,3,311,20,
"11/14/2007","6315 S Ashland Ave",1,7,725,16,
"11/15/2006","1428 W 79th St",2,6,612,17,
"11/15/2006","7900 S Essex Ave",2,4,422,7,
"11/16/2006","8901 S Burley Ave",2,4,424,10,
"11/16/2007","3258 W 23rd St",4,10,1024,22,
"11/17/2007","3332 W 23rd St",4,10,1024,22,
"11/17/2007","3413 W Cermak Rd",4,10,1024,22,
"11/17/2007","2401 S Christiana Ave",4,10,1024,22,
"11/17/2007","3359 W 23rd St",4,10,1024,22,
"11/19/2007","4800 W Chicago Ave",5,15,1531,37,
"11/19/2007","5602 W Corcoran Pl",5,15,1512,29,
"11/22/2006","2125 W Maypole Ave",4,13,1332,2,
"11/27/2007","5800 S Calumet Ave",1,2,234,20,
"11/27/2007","9648 S Calumet River",2,4,431,10,
"11/5/2008","4600 N Magnolia Ave",3,23,2311,46,
"11/7/2006","3101 W 39th Pl",1,9,912,14,
"11/9/2005","4659 S Indiana Ave",1,2,221,3,
"11/9/2005","142 W 95th st",2,6,634,21,
"12/5/2009","5800 S Russell Dr",1,2,234,20,
"12/10/2007","5800 W Washington Blvd",5,15,1512,29,
"12/10/2009","1323 W 117th St",2,5,524,34,
"12/14/2007","5300 W Chicago Ave",5,15,1524,37,
"12/15/2005","6558 S Damen Ave",1,7,726,15,
"12/15/2007","5559 S Emerald Ave",1,7,711,3,
"12/16/2005","5859 S Wabash Ave",1,2,233,20,
"12/16/2005","1101 E 93rd st",2,4,413,8,
"12/20/2009","7904 S Maryland Ave",2,6,624,8,
"12/21/2005","1658 W 79th St",2,6,611,17,
"12/22/2005","3731 W 16th St",4,10,1014,24,
"12/23/2005","1957 W Howard St",3,24,2424,49,
"12/23/2009","6395 W 63rd St",1,8,812,23,
"12/23/2009","6414 W 63rd Pl",1,8,812,23,
"12/24/2005","736 S Francisco Ave",4,11,1135,2,
"12/24/2005","2600 W 71st St",1,8,831,18,
"12/24/2005","1159 W 87th St",2,22,2222,21,
"12/27/2005","5500 W Washington Blvd",5,15,1523,29,
"12/27/2005","1156 W 19th St",4,12,1233,25,
"12/27/2005","5301 S Justine St",1,9,932,16,
"12/28/2005","158 W 103rd St",2,5,511,9,
"12/29/2005","1834 S Laflin St",4,12,1222,25,
"12/29/2009","2511 E 106th St",2,4,434,10,
"12/3/2008","7900 S Ingleside Ave",2,6,624,8,
"12/4/2007","6100 S Ellis Ave",2,3,313,20,
"12/5/2007","5100 S Wood St",1,9,932,16,
"12/6/2006","1420 N Spaulding Ave",5,14,1422,26,
"2/10/2009","100 S Spaulding Ave",4,11,1124,28,
"2/11/2008","5628 S Shields Ave",1,7,711,3,
"2/12/2007","4000 W Chicago Ave",4,11,1111,37,
"2/12/2007","3959 W Chicago Ave",4,11,1112,27,
"2/14/2007","1 S Spaulding Ave",4,11,1124,28,
"2/14/2007","3180 W Madison St",4,13,1331,28,
"2/14/2007","3358 W Madison St",4,11,1123,28,
"2/15/2007","3200 W Jackson Blvd",4,11,1124,28,
"2/18/2005","4400 W Madison St ",4,11,1113,28,
"2/19/2007","4100 W Chicago Ave",4,11,1111,37,
"2/19/2007","3900 W Chicago Ave",4,11,1112,27,
"2/19/2007","700 N Pulaski Rd",4,11,1111,28,
"2/19/2007","3132 N Leclaire Ave",5,25,2521,30,
"2/19/2007","3259 N Laramie Ave",5,16,1634,38,
"2/19/2007","3301 N Lavergne Ave",5,16,1634,38,
"2/19/2007","5001 W Belmont Ave",5,25,2521,30,
"2/19/2007","3159 N Cicero Ave",5,25,2521,31,
"2/19/2007","1132 N Western Ave",4,13,1312,26,
"2/19/2007","2600 W Division St",5,14,1423,26,
"2/2/2008","2201 N Long Ave",5,25,2515,37,
"2/20/2007","1559 W Division St",4,13,1323,1,
"2/20/2007","800 N Ashland Ave",4,13,1322,1,
"2/20/2007","1034 N ashland Ave",4,13,1322,1,
"2/21/2007","3101 N Narragansett Ave",5,25,2511,36,
"2/21/2007","3201 N Austin Ave",5,16,1633,38,
"2/21/2007","6301 W Belmont Ave",5,25,2511,36,
"2/21/2007","3058 N Austin Ave",5,25,2511,29,
"2/21/2007","2958 N Mobile Ave",5,25,2511,29,
"2/22/2006","5302 W North Ave",5,25,2532,37,
"2/22/2006","5133 W North Ave",5,25,2533,25,
"2/22/2007","2702 W 38th St",1,9,913,12,
"2/22/2007","3052 S Kostner Ave",4,10,1031,22,
"2/22/2007","4223 W 31st St",4,10,1031,22,
"2/22/2007","2101 S Ashland Ave",4,12,1222,25,
"2/23/2007","2047 S Blue Island Ave",4,12,1222,25,
"2/23/2007","2159 S Ashland Ave",4,12,1222,25,
"2/23/2007","2132 S Loomis St",4,12,1222,25,
"2/23/2007","2133 S Ashland Ave",4,12,1222,25,
"2/24/2009","659 E 131st St",2,5,533,9,
"2/26/2007","2230 W Jackson Blvd",4,12,1211,2,
"2/26/2007","2159 W Adams St",4,12,1211,2,
"2/27/2007","1302 S Albany Ave",4,10,1022,24,
"2/27/2007","3059 W Douglas Dr",4,10,1022,24,
"2/27/2007","1358 S Sacramento Dr",4,10,1022,24,
"2/27/2007","3201 W Douglas Blvd",4,10,1022,24,
"2/28/2007","2258 W Monroe St",4,12,1211,2,
"2/28/2007","3538 W Cermak Rd",4,10,1024,22,
"2/3/2010","2710 E 89th St",2,4,423,7,
"2/5/2009","7101 S Rhodes Ave",2,3,323,6,
"2/6/2009","13064 S Evans Ave",2,5,533,9,
"2/7/2008","3202 N Laramie Ave",5,16,1634,30,
"2/8/2007","4758 S Winchester Ave",1,9,915,20,
"2/9/2007","55600 W Grand Ave",5,25,2515,29,
"3/12/2007","4100 W 79th St",1,8,834,13,
"3/12/2007","8000 S Springfield Ave",1,8,834,18,
"3/12/2007","5601 S Washtenaw Ave",1,8,824,16,
"3/12/2007","2640 W 57th St",1,8,824,16,
"3/12/2007","2556 W 59th St",1,8,824,16,
"3/12/2007","5601 S Fairfield Ave",1,8,824,16,
"3/13/2007","3751 W 79th St",1,8,834,18,
"3/13/2007","5257 S Pulaski Rd",1,8,822,23,
"3/13/2007","5701 S Rockwell St",1,8,824,16,
"3/17/2008","4857 W Chicago Ave",5,15,1531,28,
"3/18/2005","800 N Central Park Ave",4,11,1112,27,
"3/19/2007","4005 W 51st St",1,8,815,23,
"3/19/2007","5160 S Pulaski Rd",1,8,815,23,
"3/19/2007","4021 W 55th St",1,8,813,13,
"3/19/2007","4006 W 55th St",1,8,815,23,
"3/19/2008","900 N Latrobe Ave",5,15,1524,37,
"3/19/2008","4658 W Gladys Ave",4,11,1131,24,
"3/2/2007","204 W Garfield Blvd",1,9,934,3,
"3/2/2007","2259 W Division St",4,13,1312,26,
"3/2/2007","4157 W 31st St",4,10,1031,22,
"3/2/2007","4030 W 31st St",4,10,1031,22,
"3/2/2007","4458 W Wrightwood Ave",5,25,2524,31,
"3/2/2007","4330 W Wrightwood Ave",5,25,2524,31,
"3/2/2007","4358 W Altgeld St",5,25,2524,31,
"3/2/2007","2531 N Lowell Ave",5,25,2524,31,
"3/2/2010","8701 S Exchange Ave",2,4,423,10,
"3/2/2010","8298 S Coles Ave",2,4,424,7,
"3/20/2007","3855 W 63rd St",1,8,823,13,
"3/20/2007","3901 W 62nd St",1,8,823,13,
"3/20/2007","6325 S Hamlin Ave",1,8,823,13,
"3/20/2007","4015 W 56th St",1,8,813,13,
"3/21/2007","5600 S Narragansett Ave",1,8,811,23,
"3/21/2007","5700 S Narragansett Ave",1,8,811,23,
"3/27/2007","5450 S Mulligan Ave",1,8,811,23,
"3/27/2007","5559 S Mobile Ave",1,8,811,23,
"3/27/2007","5601 S Karlov Ave",1,8,813,13,
"3/27/2009","460 N Leclaire Ave",5,15,1532,28,
"3/30/2007","5601 S Western Ave",1,8,824,16,
"3/5/2007","2454 N Lowell Ave",5,25,2524,31,
"3/5/2007","1658 N Kostner Ave",5,25,2533,31,
"3/5/2007","4342 W North Ave",5,25,2534,31,
"3/5/2007","1654 N Lowell Ave",5,25,2534,31,
"3/7/2007","3822 W 79th St",1,8,833,18,
"3/7/2008","442 N Laramie Ave",5,15,1523,28,
"3/7/2008","5600 W Madison St",5,15,1513,29,
"3/8/2007","3700 W Congress Pkwy",4,11,1133,28,
"3/9/2007","1358 W Washburne Ave",4,12,1231,2,
"3/9/2007","3458 S State St",1,21,2113,3,
"3/9/2007","1521 S Museum Campus Dr",,1,133,2,
"3/9/2007","1599 S Museum Campus Dr",,1,133,2,
"3/9/2007","1400 S Museum Campus Dr",,1,133,2,
"3/9/2007","1500 S Museum Campus Dr",,1,133,2,
"4/13/2007","2601 W Devon Ave",3,24,2413,50,
"4/13/2007","2229 W Devon Ave",3,24,2413,50,
"4/13/2007","1801 W Granville Ave",3,24,2433,40,
"4/15/2008","10037 S Ewing Ave",2,4,432,10,
"4/16/2009","1158 N Mason Ave",5,15,1511,29,
"4/20/2007","4800 W Van Buren St",5,15,1533,24,
"4/20/2007","12600 S Calumet River",2,4,434,10,
"4/21/2006","2701 S State St",1,21,2113,3,
"4/21/2008","1201 S Union Ave",4,12,1232,25,
"4/21/2008","1200 S Halsted St",4,12,1232,25,
"4/25/2007","32 W 95th St",2,6,634,21,
"4/27/2007","2327 W Jackson Blvd",4,12,1211,2,
"4/27/2007","4900 S Archer Ave",1,8,821,14,
"4/28/2005","100 S Springfield Ave",4,11,1122,28,
"4/3/2009","2330 S State St",,1,134,3,
"4/30/2007","3700 W 79th St",1,8,833,18,
"4/4/2006","3654 W Thomas St",4,11,1112,27,
"4/4/2008","7500 S Vincennes Ave",2,6,623,17,
"4/7/2008","1914 S Pulaski Rd",4,10,1012,24,
"4/8/2008","10758 S State Line Rd",2,4,432,10,
"4/9/2008","4001 E 134th St",2,4,433,10,
"4/9/2008","4534 S Greenwood Ave",1,21,2123,4,
"5/1/2007","731 W 66th St",1,7,723,6,
"5/1/2007","4401 W Diversey Ave",5,25,2524,31,
"5/10/2007","1300 N Claremont Ave",5,14,1424,1,
"5/11/2007","1700 N Keystone Ave",5,25,2534,30,
"5/11/2007","2759 N Narragansett Ave",5,25,2512,29,
"5/15/2007","6241 S Hamlin Ave",1,8,823,13,
"5/15/2007","1740 N Kildare Ave",5,25,2534,31,
"5/16/2006","5459 S Damen Ave",1,9,915,16,
"5/16/2008","260 W 95th St",2,6,634,21,
"5/17/2007","5857 W Augusta Blvd",5,15,1511,29,
"5/17/2007","2659 E 87th St",2,4,423,7,
"5/17/2007","3923 W 51st St",1,8,822,23,
"5/18/2007","1503 S Kostner Ave",4,10,1012,24,
"5/18/2007","3345 W Fillmore St",4,11,1134,24,
"5/22/2007","6800 N Sheridan Rd",3,24,2431,49,
"5/22/2007","6600 S Rhodes Ave",2,3,321,20,
"5/23/2007","2426 W 71st St",1,8,832,17,
"5/23/2007","1458 N Lotus Ave",5,25,2532,37,
"5/24/2007","4300 W Fullterton Ave",5,25,2524,31,
"5/24/2007","6401 S Marshfield Ave",1,7,725,15,
"5/24/2007","4000 S Albany Ave",1,9,912,14,
"5/3/2007","4035 W Armitage Ave",5,25,2534,30,
"5/3/2007","2359 W Potomac Ave",5,14,1424,1,
"5/30/2007","1899 N Mozart St",5,14,1421,35,
"5/30/2007","1399 N Washtenaw Ave",5,14,1423,26,
"5/30/2007","3401 W Sunnyside Ave",5,17,1723,33,
"5/30/2007","3958 W Division St",5,25,2535,27,
"5/31/2007","8648 S Halsted St",2,6,613,21,
"5/31/2007","1002 N Pulaski Rd",4,11,1111,37,
"5/4/2007","1957 N Kostner Ave",5,25,2524,31,
"5/4/2007","801 N Paulina St",4,13,1322,1,
"5/6/2008","7401 S Stewart Ave",1,7,731,17,
"5/7/2007","4602 N Sheridan Rd",3,23,2312,46,
"5/8/2007","1759 W 21st Pl",4,12,1223,25,
"5/8/2007","3200 W 15th St",4,10,1022,24,
"5/9/2007","2402 W Thomas St",4,13,1312,1,
"6/1/2007","6700 S Blackstone Ave",2,3,332,5,
"6/1/2007","1600 W Garfield Blvd",1,9,932,16,
"6/1/2007","7200 S Ashland Ave",1,7,735,17,
"6/11/2007","6500 S Cottage Grove Ave",2,3,321,20,
"6/13/2007","3899 W Grenshaw St",4,11,1133,24,
"6/13/2007","6701 S Langley Ave",2,3,321,6,
"6/14/2007","7101 S Green St",1,7,733,6,
"6/14/2007","2001 E 73rd St",2,3,333,5,
"6/15/2007","7101 S Euclid Ave",2,3,333,5,
"6/18/2008","2033 E 93rd St",2,4,413,8,
"6/19/2007","1300 S Sawyer Ave",4,10,1022,24,
"6/20/2007","1501 S Christiana Av",4,10,1021,24,
"6/27/2006","1627 N Cicero Ave",5,25,2533,37,
"6/5/2007","6300 S Francisco Ave",1,8,823,15,
"6/5/2007","6300 S Whipple St",1,8,823,15,
"6/5/2007","1202 N Keeler Ave",5,25,2534,37,
"6/5/2007","900 N Avers Ave",4,11,1112,27,
"6/6/2007","1200 S Springfield Ave",4,10,1011,24,
"6/6/2007","5817 W North Ave",5,25,2531,29,
"6/7/2007","6900 S Halsted St",1,7,733,6,
"6/8/2007","1000 N Monticello Ave",4,11,1112,27,
"7/1/2007","38 w I-190 EXPY",5,15,1654,41,
"7/10/2007","801 N Hamlin Ave",4,11,1112,27,
"7/12/2007","2859 W 25th St",4,10,1033,12,
"7/12/2007","764 E 131st St",2,5,533,9,
"7/12/2007","5100 S Indiana Ave",1,2,232,3,
"7/12/2007","1005 E 132nd St",2,5,533,9,
"7/12/2007","705 E 133rd St",2,5,533,9,
"7/12/2007","6000 S Elizabeth St",1,7,713,16,
"7/13/2005","660 W Division St",,18,1822,27,
"7/13/2007","400 S Lotus Ave",5,15,1522,29,
"7/13/2007","5451 W Adams St",5,15,1522,29,
"7/13/2007","6833 S Perry Ave",1,7,722,6,
"7/13/2007","2400 N Tripp Ave",5,25,2524,31,
"7/14/2005","1240 N Larrabee St",,18,1822,27,
"7/14/2007","6029 S Justine St",1,7,713,15,
"7/14/2007","5500 S Washtenaw Ave",1,8,824,16,
"7/15/2005","920 N Hudson Ave",,18,1823,27,
"7/15/2008","10300 S Aberdeen St",2,22,2232,34,
"7/15/2008","10300 S Elizabeth St",2,22,2232,21,
"7/15/2008","11100 S Normal Ave",2,22,2233,34,
"7/16/2006","5001 W Madison St",5,15,1533,28,
"7/16/2007","700 S Central Park Ave",4,11,1133,24,
"7/16/2007","5700 S Throop St",1,7,713,16,
"7/18/2007","6944 N Glenwood Ave",3,24,2431,49,
"7/18/2007","6601 S Hermitage Ave",1,7,725,15,
"7/18/2008","6159 S Whipple St",1,8,823,15,
"7/19/2007","2258 S Marhsall Blvd",4,10,1033,12,
"7/19/2007","7100 S Vincennes Ave",1,7,731,6,
"7/19/2007","2827 W 63rd St",1,8,823,15,
"7/19/2007","3700 W Division St",5,25,2535,27,
"7/2/2007","5558 S Cicero Ave",1,8,813,23,
"7/20/2007","1801 S Harding Ave",4,10,1014,24,
"7/20/2008","5300 W Monroe St",5,15,1522,29,
"7/21/2007","8749 S Lowe Ave",2,22,2223,21,
"7/21/2007","801 S California Ave",4,11,1135,28,
"7/23/2007","6800 S Prairie Ave",2,3,322,20,
"7/24/2006","300 S PulaskiRd",4,11,1132,28,
"7/25/2007","4200 W Crystal St",5,25,2534,37,
"7/25/2008","6158 S Kimbark Ave",2,3,314,20,
"7/27/2007","941 N Cambridge Ave",,18,1823,27,
"7/27/2007","1231 N Burling St",,18,1822,27,
"7/28/2006","7800 S Marquette Ave",2,4,422,7,
"7/3/2007","5258 W Madison St",5,15,1522,28,
"7/3/2007","4232 W Wabansia Ave",5,25,2534,30,
"7/6/2007","6401 S Lowe Ave",1,7,723,16,
"7/7/2005","234 N Homan Ave",4,11,1123,28,
"7/8/2006","1700 N Mayfield ave",5,25,2531,29,
"7/8/2007","501 W 65th St",1,7,722,20,
"8/14/2007","8301 S Kedzie Ave",1,8,835,18,
"8/2/2007","8855 S Wallace St",2,22,2223,21,
"8/25/2005","4259 S Cicero Ave",1,8,815,14,
"8/27/2007","10931 S Racine Ave",2,22,2234,34,
"8/27/2007","6800 S Justine St",1,7,725,17,
"8/27/2008","4659 S Vincennes Ave",1,2,222,3,
"8/28/2007","6501 S Oakley St",1,8,832,15,
"8/28/2007","3700 W Mc Lean Ave",5,25,2525,26,
"8/28/2007","5659 S Aberdeen st",1,7,712,16,
"8/28/2007","6959 S Winchester Ave",1,7,735,17,
"8/28/2008","8301 S Saginaw Ave",2,4,423,7,
"8/28/2009","5902 S Union Ave",1,7,711,20,
"8/29/2007","6712 N Bosworth Ave",3,24,2432,40,
"8/29/2007","1901 S Lawndale Ave",4,10,1014,24,
"8/29/2008","3659 W Lawrence Ave",5,17,1723,33,
"8/29/2008","1600 W Pratt Blvd",3,24,2431,49,
"8/30/2007","627 N Cicero Ave",4,11,1111,28,
"8/30/2008","7100 S Jeffery Blvd",2,3,333,5,
"8/7/2007","5100 W Chicago Ave",5,15,1531,37,
"8/7/2007","5500 W Thomas St",5,15,1524,37,
"8/7/2007","5440 W Cortez St",5,15,1524,37,
"8/9/2005","6300 S Dr Martin Luther King Jr Dr",2,3,312,20,
"9/10/2008","7000 S East End Ave",2,3,332,5,
"9/15/2009","8900 S Exchange Ave",2,4,423,10,
"9/16/2005","2400 S Dearborn St",,1,134,3,
"9/18/2008","7700 S South Chicago Ave",2,4,411,5,
"9/20/2006","5600 W West End Ave",5,15,1512,29,
"9/20/2007","4901 S Drexel Blvd",1,21,2124,4,
"9/25/2009","1326 W 13th St",4,12,1231,2,
"9/26/2007","7905 S Pulaski Rd",1,8,834,18,
"9/27/2007","2710 E 89th St",2,4,423,7,
"9/27/2008","2555 W Le Moyne St",5,14,1423,26,
"9/28/2007","5359 W Grand Ave",5,25,2515,37,
"9/28/2007","5402 W Grand Ave",5,25,2515,37,
"9/28/2007","5246 W Grand Ave",5,25,2515,37,
"9/29/2008","6300 S Artesian Ave",1,8,825,15,
"9/3/2008","1059 W Lawrence Ave",3,23,2312,46,
"9/4/2007","400 S Oakley Blvd",4,12,1211,2,
"9/5/2007","6300 S Albany Ave",1,8,823,15,
"9/8/2008","501 S Lotus Ave",5,15,1522,29,
"09/09/2005","1330 S Homan Ave",4,10,1021,24,
"7/4/2010","5500 W Madison St",5,15,1522,29,
"3/16/2010","4233 W Augusta Blvd",4,11,1111,37,
